Latitude,Longitude,Altitude (m)
-13.242510000,131.112870000,54.6
-13.242830000,131.114620000,54.1
-13.243440000,131.118840000,52.2
-13.243860000,131.120660000,52.3
-13.244440000,131.122630000,52.0
-13.245100000,131.124380000,51.2
-13.245920000,131.126190000,50.0
-13.247410000,131.129000000,49.2
-13.249110000,131.131900000,49.7
-13.250530000,131.133990000,48.9
-13.252160000,131.136200000,50.8
-13.253280000,131.137590000,51.0
-13.254930000,131.139480000,51.5
-13.256290000,131.140920000,50.9
-13.276040000,131.160960000,52.0
-13.277620000,131.162760000,54.0
-13.278480000,131.163890000,53.6
-13.279490000,131.165400000,53.2
-13.280320000,131.166830000,54.3
-13.281170000,131.168530000,55.1
-13.282010000,131.170580000,54.1
-13.282820000,131.173140000,58.6
-13.285240000,131.182420000,63.5
-13.285450000,131.183120000,65.9
-13.286000000,131.184390000,68.6
-13.286420000,131.185090000,64.8
-13.287380000,131.186420000,60.5
-13.296570000,131.198830000,59.1
-13.297780000,131.200340000,66.2
-13.299460000,131.202140000,70.3
-13.301040000,131.203570000,68.2
-13.302290000,131.204560000,70.1
-13.303950000,131.205680000,68.5
-13.304980000,131.206300000,68.6
-13.306950000,131.207320000,64.7
-13.308400000,131.207940000,64.5
-13.309820000,131.208450000,65.6
-13.312090000,131.209090000,63.7
-13.314110000,131.209480000,61.5
-13.330710000,131.211930000,66.0
-13.333290000,131.212250000,63.7
-13.335750000,131.212340000,63.3
-13.337560000,131.212290000,63.0
-13.348500000,131.211300000,72.8
-13.349980000,131.211290000,79.2
-13.351120000,131.211350000,75.9
-13.353200000,131.211600000,78.1
-13.354710000,131.211910000,79.7
-13.356200000,131.212300000,77.7
-13.358000000,131.212920000,75.0
-13.359580000,131.213610000,71.3
-13.360800000,131.214240000,69.9
-13.362900000,131.215550000,66.5
-13.363900000,131.216290000,67.0
-13.365050000,131.217240000,66.1
-13.366600000,131.218740000,68.5
-13.367820000,131.220140000,69.4
-13.368660000,131.221230000,68.3
-13.369960000,131.223240000,71.8
-13.370490000,131.224180000,75.1
-13.371290000,131.225870000,68.9
-13.372130000,131.228120000,66.6
-13.375820000,131.240830000,64.0
